Time Window：2024-12-03 14:48:39 - 2024-12-03 14:49:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:49:09 - 2024-12-03 14:50:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:49:39 - 2024-12-03 14:50:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:50:09 - 2024-12-03 14:51:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:50:39 - 2024-12-03 14:51:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:51:09 - 2024-12-03 14:52:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:51:39 - 2024-12-03 14:52:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:52:09 - 2024-12-03 14:53:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:52:39 - 2024-12-03 14:53:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:53:09 - 2024-12-03 14:54:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:53:39 - 2024-12-03 14:54:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:54:09 - 2024-12-03 14:55:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:54:39 - 2024-12-03 14:55:39, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
Time Window：2024-12-03 14:55:09 - 2024-12-03 14:56:09, Buy Volume: 0, Sell Volume: 0, Ratio: 0.0, Total Volume: 0 
